# Usage: 
#    wirecell-sigproc convert-noise-spectra --format microboonev1 pdvd-bottom-noise-spectra-v1.txt pdvd-bottom-noise-spectra-v1.json.bz2
2.0 MHz 6000 Ticks 14.0 mV/fC 2.2 microsecond
Freq  5.2 91.8 172.05 5.2 91.8 172.05 162.051 182.051
Plane 0 0 0  1 1 1  2 2
-1 6.76465 8.86341 10.9001 6.76465 8.86341 10.9001 11.7182 11.7182
0 94.0192 83.743 89.3142 94.0192 83.743 89.3142 93.3791 93.3791
0.00488281 62.0113 66.1771 87.9264 62.0113 66.1771 87.9264 74.0633 74.0633
0.00976562 60.9736 69.5953 92.3068 60.9736 69.5953 92.3068 75.9554 75.9554
0.0146484 63.8975 72.9259 100.454 63.8975 72.9259 100.454 79.7834 79.7834
0.0195312 66.9031 82.6564 107.175 66.9031 82.6564 107.175 90.1697 90.1697
0.0244141 71.5934 85.5476 120.678 71.5934 85.5476 120.678 100.258 100.258
0.0292969 68.49 87.865 124.214 68.49 87.865 124.214 98.5982 98.5982
0.0341797 68.2723 90.5695 126.138 68.2723 90.5695 126.138 102.195 102.195
0.0390625 70.259 94.9915 133.989 70.259 94.9915 133.989 104.728 104.728
0.0439453 74.3665 98.3438 134.177 74.3665 98.3438 134.177 109.062 109.062
0.0488281 73.6738 102.184 142.854 73.6738 102.184 142.854 113.394 113.394
0.0537109 74.2381 105.878 141.054 74.2381 105.878 141.054 115.861 115.861
0.0585938 75.9406 106.914 146.303 75.9406 106.914 146.303 119.125 119.125
0.0634766 76.5547 109.936 147.969 76.5547 109.936 147.969 123.014 123.014
0.0683594 75.8463 110.846 149.493 75.8463 110.846 149.493 125.735 125.735
0.0732422 76.9549 111.975 154.615 76.9549 111.975 154.615 129.237 129.237
0.078125 77.5696 118.67 158.977 77.5696 118.67 158.977 131.401 131.401
0.0830078 78.2635 119.033 162.998 78.2635 119.033 162.998 133.279 133.279
0.0878906 77.7023 119.659 168.317 77.7023 119.659 168.317 136.284 136.284
0.0927734 79.8049 115.173 168.657 79.8049 115.173 168.657 137.227 137.227
0.0976562 81.3363 117.32 163.204 81.3363 117.32 163.204 138.763 138.763
0.102539 81.5386 117.609 171.137 81.5386 117.609 171.137 139.902 139.902
0.107422 78.8228 119.884 176.1 78.8228 119.884 176.1 140.666 140.666
0.112305 78.503 120.218 171.474 78.503 120.218 171.474 141.232 141.232
0.117188 79.4115 119.87 174.439 79.4115 119.87 174.439 142.565 142.565
0.12207 78.941 119.251 176.999 78.941 119.251 176.999 141.512 141.512
0.126953 77.0473 119.523 175.234 77.0473 119.523 175.234 142.287 142.287
0.131836 75.5309 118.157 172.275 75.5309 118.157 172.275 141.328 141.328
0.136719 76.6246 118.81 171.051 76.6246 118.81 171.051 140.159 140.159
0.141602 75.9971 119.934 172.296 75.9971 119.934 172.296 139.584 139.584
0.146484 74.4539 118.921 165.482 74.4539 118.921 165.482 137.911 137.911
0.151367 72.3872 114.377 166.486 72.3872 114.377 166.486 136.533 136.533
0.15625 74.3768 114.803 167.798 74.3768 114.803 167.798 135.523 135.523
0.161133 73.2947 113.18 167.664 73.2947 113.18 167.664 133.089 133.089
0.166016 70.2265 107.847 155.275 70.2265 107.847 155.275 131.135 131.135
0.170898 69.2198 111.468 154.974 69.2198 111.468 154.974 129.698 129.698
0.175781 67.3775 107.759 154.836 67.3775 107.759 154.836 126.73 126.73
0.180664 66.4862 105.326 156.03 66.4862 105.326 156.03 124.142 124.142
0.185547 64.4387 102.72 150.417 64.4387 102.72 150.417 121.921 121.921
0.19043 62.6475 100.344 145.692 62.6475 100.344 145.692 119.084 119.084
0.195312 60.1811 94.0166 144.505 60.1811 94.0166 144.505 116.312 116.312
0.200195 60.5405 97.4534 140.582 60.5405 97.4534 140.582 113.675 113.675
0.205078 57.6233 92.7365 140.59 57.6233 92.7365 140.59 110.265 110.265
0.209961 55.2366 88.6218 134.204 55.2366 88.6218 134.204 107.643 107.643
0.214844 53.7843 87.6515 127.459 53.7843 87.6515 127.459 104.326 104.326
0.219727 53.6126 86.0183 125.662 53.6126 86.0183 125.662 101.112 101.112
0.224609 50.1564 86.333 120.841 50.1564 86.333 120.841 98.2771 98.2771
0.229492 50.4382 79.9716 121.176 50.4382 79.9716 121.176 95.7029 95.7029
0.234375 48.3657 77.9572 113.072 48.3657 77.9572 113.072 92.3789 92.3789
0.239258 46.1705 76.1301 112.061 46.1705 76.1301 112.061 89.4311 89.4311
0.244141 44.2476 71.8386 108.557 44.2476 71.8386 108.557 85.9649 85.9649
0.249023 42.2013 69.2991 105.02 42.2013 69.2991 105.02 83.2527 83.2527
0.253906 41.5994 67.2208 102.037 41.5994 67.2208 102.037 80.2008 80.2008
0.258789 40.5588 65.2729 95.2087 40.5588 65.2729 95.2087 77.4592 77.4592
0.263672 38.6254 62.4959 93.6991 38.6254 62.4959 93.6991 74.7984 74.7984
0.268555 36.8829 61.5499 89.255 36.8829 61.5499 89.255 71.9342 71.9342
0.273438 35.6056 58.1775 86.5959 35.6056 58.1775 86.5959 68.8098 68.8098
0.27832 33.4552 57.6664 83.2215 33.4552 57.6664 83.2215 66.5955 66.5955
0.283203 32.5307 54.0532 78.595 32.5307 54.0532 78.595 63.818 63.818
0.288086 32.6383 51.1157 78.2077 32.6383 51.1157 78.2077 61.2667 61.2667
0.292969 30.2356 48.1659 73.2346 30.2356 48.1659 73.2346 59.1129 59.1129
