# Usage: 
#    wirecell-sigproc convert-noise-spectra --format microboonev1 pdvd-top-noise-spectra-v0.txt pdvd-top-noise-spectra-v0.json.bz2
2.0 MHz 3000 Ticks 7.2 mV/fC 2.2 microsecond
Freq  5.2 91.8 172.05 5.2 91.8 172.05 162.051 182.051
Plane 0 0 0  1 1 1  2 2
-1 25.7386 27.2593 28.7287 25.7386 27.2593 28.7287 28.7287 28.7287
0 101.07 106.224 117.589 101.07 106.224 117.589 111.057 111.057
0.0125 99.6113 108.025 121.671 99.6113 108.025 121.671 114.911 114.911
0.025 99.3995 112.428 123.606 99.3995 112.428 123.606 116.739 116.739
0.0375 101.257 113.939 126.257 101.257 113.939 126.257 119.243 119.243
0.05 101.424 110.98 120.22 101.424 110.98 120.22 113.541 113.541
0.0625 98.7064 110.803 121.913 98.7064 110.803 121.913 115.14 115.14
0.075 98.7294 110.564 117.806 98.7294 110.564 117.806 111.261 111.261
0.0875 96.0165 106.176 119.191 96.0165 106.176 119.191 112.569 112.569
0.1 95.2755 107.719 116.619 95.2755 107.719 116.619 110.14 110.14
0.1125 93.7526 103.776 112.513 93.7526 103.776 112.513 106.263 106.263
0.125 96.0591 107.849 112.411 96.0591 107.849 112.411 106.166 106.166
0.1375 88.0485 102.872 108.754 88.0485 102.872 108.754 102.713 102.713
0.15 88.5689 99.5492 108.564 88.5689 99.5492 108.564 102.533 102.533
0.1625 84.2788 93.5821 104.129 84.2788 93.5821 104.129 98.3438 98.3438
0.175 83.7439 96.7273 104.82 83.7439 96.7273 104.82 98.9967 98.9967
0.1875 82.8691 93.694 97.9678 82.8691 93.694 97.9678 92.5252 92.5252
0.2 82.442 88.5285 99.1146 82.442 88.5285 99.1146 93.6082 93.6082
0.2125 76.9214 90.2706 95.6816 76.9214 90.2706 95.6816 90.3659 90.3659
0.225 79.765 89.6894 95.0951 79.765 89.6894 95.0951 89.8121 89.8121
0.2375 75.0011 85.4835 95.0706 75.0011 85.4835 95.0706 89.7889 89.7889
0.25 74.2536 84.5684 89.4501 74.2536 84.5684 89.4501 84.4806 84.4806
0.2625 74.3189 81.7724 85.9255 74.3189 81.7724 85.9255 81.1518 81.1518
0.275 71.6342 78.8372 86.4452 71.6342 78.8372 86.4452 81.6427 81.6427
0.2875 70.3661 76.4184 82.9166 70.3661 76.4184 82.9166 78.3102 78.3102
0.3 71.4171 77.6854 80.9617 71.4171 77.6854 80.9617 76.4639 76.4639
0.3125 67.8048 72.8987 78.9668 67.8048 72.8987 78.9668 74.5797 74.5797
0.325 66.1003 71.9551 77.7546 66.1003 71.9551 77.7546 73.4349 73.4349
0.3375 64.753 70.6769 76.658 64.753 70.6769 76.658 72.3992 72.3992
0.35 62.4527 68.3831 74.3134 62.4527 68.3831 74.3134 70.1849 70.1849
0.3625 62.0032 67.2199 72.3268 62.0032 67.2199 72.3268 68.3087 68.3087
0.375 61.2649 64.6448 70.7474 61.2649 64.6448 70.7474 66.817 66.817
0.3875 57.1113 62.3518 67.5095 57.1113 62.3518 67.5095 63.759 63.759
0.4 62.3801 63.188 64.3037 62.3801 63.188 64.3037 60.7312 60.7312
0.4125 55.7433 60.7208 65.6126 55.7433 60.7208 65.6126 61.9675 61.9675
0.425 56.7976 60.1601 62.9472 56.7976 60.1601 62.9472 59.4501 59.4501
0.4375 51.2993 57.7601 61.6542 51.2993 57.7601 61.6542 58.229 58.229
0.45 50.4628 55.8569 58.6692 50.4628 55.8569 58.6692 55.4098 55.4098
0.4625 49.8533 55.0769 58.7545 49.8533 55.0769 58.7545 55.4903 55.4903
0.475 49.1362 52.6523 57.573 49.1362 52.6523 57.573 54.3745 54.3745
0.4875 48.7481 52.1944 55.3148 48.7481 52.1944 55.3148 52.2418 52.2418
0.5 47.1654 48.8412 53.8469 47.1654 48.8412 53.8469 50.8554 50.8554
0.5125 44.0835 48.306 52.1442 44.0835 48.306 52.1442 49.2473 49.2473
0.525 43.3087 47.338 50.8435 43.3087 47.338 50.8435 48.0189 48.0189
0.5375 46.6996 47.7846 49.6644 46.6996 47.7846 49.6644 46.9053 46.9053
0.55 42.7944 46.1266 46.7033 42.7944 46.1266 46.7033 44.1087 44.1087
0.5625 44.0044 43.6673 47.3776 44.0044 43.6673 47.3776 44.7455 44.7455
0.575 43.5334 43.8413 47.4765 43.5334 43.8413 47.4765 44.8389 44.8389
0.5875 40.2485 42.1512 44.096 40.2485 42.1512 44.096 41.6462 41.6462
0.6 39.4002 41.916 43.7869 39.4002 41.916 43.7869 41.3543 41.3543
0.6125 39.0427 38.9629 41.4602 39.0427 38.9629 41.4602 39.1568 39.1568
0.625 37.2657 38.3777 41.0147 37.2657 38.3777 41.0147 38.7361 38.7361
0.6375 34.6497 36.4464 38.3864 34.6497 36.4464 38.3864 36.2538 36.2538
0.65 32.1925 35.3791 38.3608 32.1925 35.3791 38.3608 36.2296 36.2296
0.6625 32.572 34.4042 37.5503 32.572 34.4042 37.5503 35.4642 35.4642
0.675 37.2804 34.8448 37.9617 37.2804 34.8448 37.9617 35.8527 35.8527
0.6875 32.1917 33.4169 35.4957 32.1917 33.4169 35.4957 33.5237 33.5237
0.7 33.2486 36.5815 35.2432 33.2486 36.5815 35.2432 33.2853 33.2853
0.7125 31.5848 32.6833 32.5648 31.5848 32.6833 32.5648 30.7556 30.7556
0.725 31.2126 31.4843 31.8928 31.2126 31.4843 31.8928 30.121 30.121
